ID,Text,Zuschreibung,Evaluation,
EDCS-56300022,Cnaeo Octavio Palatina Ulpiano Phainus pater,,TN,
EDCS-34200061,Imperatori Caesari Tito Aelio Hadriano Antonino Augusto Pio pontifici maximo tribunicia potestate VII consuli III patri patriae vexillatio legionis II Traianae Fortis et auxiliares eius castra sub   Avito que sub praefecto Ferresani portus et Ponti Herculis fecerunt et dedicaverunt,,TN,
EDCS-22700758,tribuno militum legionis XXII     duumviro allecto      quod munus gladiatorium edidit,,TN,
EDCS-17200135,Aesculapio et Hygiae dominis Publius Aelius Philetus votum solvit libens laetus merito,,TN,
EDCS-65000072,Imperator Caesar divi Hadriani filius divi Traiani Parthici nepos divi Nervae pronepos Titus Aelius Hadrianus Antoninus Augustus Pius pontifex maximus tribunicia potestate VII imperator II consul III pater patriae equitibus qui inter singulares militaverunt quibus praeest   quinis et vicenis pluribusve stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt civitatem Romanam qui eorum non haberent dedit et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut si qui caelibes essent cum iis quas postea duxissent dumtaxat singulis ante diem XIIII Kalendas Apriles Plariano et Karo consulibus Tito Flavio Durisae filio Druso Apris  Descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam  Publi Atti Severi Luci Pulli Daphni Marci Servili Getae Marci Tetti Proculi Marci Sentili Iasi Tiberi Iuli Felicis Cai Iuli Silvani,,TN,
EDCS-11000018,Mercurio et Maiae sacrum Sennaus Le  Gnata Luteui Vire  Ratulla filii  Rufino et Quadrato consulibus,,TN,
EDCS-08600219,Corneliae Quinti filiae Sympherusae,,TN,
EDCS-08701154,Vi Fir  annorum,,TN,
EDCS-11300825,Imperatori Caesari divi Traiani Parthici filio divi Nervae nepoti Traiano Hadriano Augusto pontifici maximo tribunicia potestate   consuli patri patriae,,TN,
EDCS-31200176,Opus doliare ex figulinis Ivili anianis Aeliae Severae L C,,TN,
EDCS-13500203,Cohortis III,,TN,
EDCS-05000087,Caius Iulius Felix stabularius,,TN,
EDCS-64400492,Locus sepulturae  Quinti ,,TN,
EDCS-09500248,Imperator Caesar Titus Aelius Hadrianus Antoninus Augustus Pius pater patriae tribunicia potestate VII consul III,,TN,
EDCS-70100123,Imperator    Titus Aelius  Hadrianus Antoninus Pius,,TN,
EDCS-08401276,Annius     Teretina  Camars Xvir stlitibus iudicandis tribunus militum legionis   sevir equitum Romanorum turmae   tribunus plebis praetor proconsul provinciae   legatus pro praetore provinciae Africae   statuas  sibi et Lucio Annio   ex argento libris |mille dedit   quarum manupretium  vit item HS nummum CCmilia ex quorum usuris omnibus annis   ludi athletarum aut circen ses   ederentur idem ad memoriae aeternitatem hoc monumentum extruxit,,TN,
EDCS-11001762, tiae M  hir   en,,TN,
EDCS-03600023,Arretium ,,TN,
EDCS-15100372,Caius Thar  Titi filius TTAR  annum I menses I  hic sepultus est   eius semor,,TN,
EDCS-05100269,Priapo Lucius Pladici us Tertius votum solvit libens merito,,TN,Freigelassener unbenannt
EDCS-28200126,DDominis nnostris Imperatoribus Caesarib us Treboniano Gallo iterum et Afi nio Volussiano Auggustis consuli Tipasitani milia passuum III,,TN,
EDCS-17600015,Imperatori Caesari Marco Aurelio Antonino Pio Felici Invicto Augusto Parthico maximo Britannico maximo pontifici maximo tribunicia potestate XVI imperatori II consuli IIII patri patriae proconsuli domino indulgentissimo negotiantes vascularii conservatori suo numini eius devoti,,TN,
EDCS-34501099,Matronis ,,TN,
EDCS-84400159,C Or,,TN,
EDCS-19600056,Marcius Crescens |centuria Valeriani sebaciaria anno II Calpurnius Victor sebaciarius,,TN,
EDCS-13301457, AV,,TN,
EDCS-35900014,Publi Sallusti Publi filii Lucullii  fecit Cusinia mater filio pientissimo et Publio  Sallustio Erotyllo patri eius   Cusinio Atimeto et sibi in hoc religioso loco ergo sanctus positus est ne quis velit huic loco iniuriam fecisse iussa per quietem hoc titulo cavi,,FN,
EDCS-47600163, Burri  Audax  votum solvit libens merito,,TN,Freigelassener unbenannt
EDCS-17400027,Imperatori Caesari Lucio Septimio Severo Pio Pertinaci Augusto Arabico Adiabenico Parthico maximo pontifici maximo tribunicia potestate VIIII imperatori XI consuli II designato III patri patriae proconsuli et Imperatori Caesari Luci Septimii Severi Pii Pertinacis Augusti Arabici Adiabenico Parthici maximi filio Marco Aurelio Antonino,,TN,
EDCS-08500391,Severus,,TN,
EDCS-29100081,Caio Valerio Cai filio Papiria Valeriano IIviro coloniae Sarmizegetusae metropolis decurioni coloniae Apulensis equiti Romano Valerii Niceforus et Protus liberti patrono dignissimo locus datus decreto decurionum,dignus,TP,
EDCS-11301522,Marti Equitum templum pro salute dominorum nostrorum Severi et Antonini Imperatorum   Atrium Decoratum tribunum cohortis II Aureliae Dardanorum Antoni nianae |miliariae equitatae AE ,,TN,
EDCS-12300136,Opus cohortis VII,,TN,
EDCS-35600137,an   sell  votum solvit libens merito,,TN,Freigelassener unbenannt
